index,Cell type,test,material,time (hr),concentration (ug/ml),viability (%),Hydrodynamic diameter (nm),Zeta potential (mV),mcd,electronegativity,rox,radii,source
,HepG2,MTT,ZnO,24,8,93.47014925,267,-12,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,MTT,ZnO,6,14,94.7761194,267,-12,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,MTT,ZnO,12,14,80.03731343,267,-12,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,MTT,ZnO,24,14,52.6119403,267,-12,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,MTT,ZnO,6,20,94.21641791,267,-12,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,MTT,ZnO,12,20,74.25373134,267,-12,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,MTT,ZnO,24,20,42.7238806,267,-12,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,NRU,ZnO,6,0,99.06716418,267,-12,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,NRU,ZnO,12,0,98.69402985,267,-12,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,NRU,ZnO,24,0,98.88059701,267,-12,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,NRU,ZnO,6,0.8,96.26865672,267,-12,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,NRU,ZnO,12,0.8,101.119403,267,-12,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,NRU,ZnO,24,0.8,95.3358209,267,-12,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,NRU,ZnO,6,2,101.119403,267,-12,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,NRU,ZnO,12,2,92.35074627,267,-12,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,NRU,ZnO,24,2,101.3059701,267,-12,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,NRU,ZnO,6,8,97.94776119,267,-12,2.272727273,2.545,-0.7618,1.35,additional
,HepG2,NRU,ZnO,12,8,100.9328358,267,-12,2.272727273,2.545,-0.7618,1.35,additional
